EmployeeID,Name,Department,JobTitle,ExperienceYears,PerformanceScore,ProjectsCompleted,MonthlySalary,AttendanceRate (%),LastPromotionYear,Status,Feedback
E0070,Employee_70,R&D,Analyst,15,3.37,60,44097,75,2022,Active,Average performance this quarter.
E0071,Employee_71,Marketing,Team Lead,3,3.86,54,35395,78,2017,Inactive,Needs improvement in meeting deadlines.
E0072,Employee_72,R&D,Executive,8,2.83,53,41241,89,2017,Active,Great teamwork and consistent performance!
E0073,Employee_73,Marketing,Analyst,16,2.56,14,52696,94,2020,Active,Missed a few important targets.
E0074,Employee_74,Sales,Intern,13,3.39,79,95480,93,2022,Active,Struggles with workload management.
E0075,Employee_75,R&D,Coordinator,18,3.06,35,71163,77,2023,Active,Struggles with workload management.
E0076,Employee_76,Finance,Executive,10,3.75,77,44816,94,2023,Active,Shows strong technical skills.
E0077,Employee_77,Operations,Coordinator,19,2.23,28,74840,85,2018,Active,Positive attitude towards learning.
E0078,Employee_78,IT,Developer,17,4.92,29,77853,91,2019,Inactive,Shows strong technical skills.
E0079,Employee_79,Marketing,Developer,19,4.96,21,49917,87,2016,Inactive,Shows strong technical skills.
E0080,Employee_80,HR,Manager,5,4.09,56,46566,85,2023,Active,Shows strong technical skills.
E0081,Employee_81,Marketing,Coordinator,9,3.61,10,100452,76,2022,Active,Always helpful and reliable.
E0082,Employee_82,HR,Intern,12,2.93,23,87823,83,2017,Active,Excellent leadership qualities.
E0083,Employee_83,Operations,Team Lead,1,4.44,73,45806,76,2023,Active,Always helpful and reliable.
E0084,Employee_84,Operations,Executive,1,4.05,47,100520,95,2017,Active,Missed a few important targets.
E0085,Employee_85,Operations,Analyst,15,2.49,46,26759,83,2023,Active,Positive attitude towards learning.
E0086,Employee_86,HR,Intern,2,4.73,20,66949,83,2016,Active,Excellent leadership qualities.
E0087,Employee_87,Marketing,Intern,16,4.47,12,117374,82,2024,Active,Missed a few important targets.
E0088,Employee_88,Operations,Developer,8,4.85,42,27482,91,2023,Active,Missed a few important targets.
E0089,Employee_89,Sales,Coordinator,13,4.18,15,49442,75,2022,Active,Always helpful and reliable.
E0090,Employee_90,R&D,Manager,1,3.84,59,58719,99,2023,Active,Excellent leadership qualities.
E0091,Employee_91,HR,Manager,16,3.25,19,83066,85,2019,Active,Average performance this quarter.
E0092,Employee_92,HR,Executive,7,4.8,14,118501,82,2016,Active,Always helpful and reliable.
E0093,Employee_93,Marketing,Developer,5,4.6,32,27079,84,2022,Active,Positive attitude towards learning.
E0094,Employee_94,HR,Intern,3,2.14,19,27717,99,2020,Active,Average performance this quarter.
E0095,Employee_95,HR,Team Lead,12,2.08,53,84676,81,2022,Active,Great teamwork and consistent performance!
E0096,Employee_96,Operations,Developer,16,3.13,11,52952,77,2019,Active,Shows strong technical skills.
E0097,Employee_97,Marketing,Executive,19,4.43,22,111444,77,2024,Active,Needs improvement in meeting deadlines.
E0098,Employee_98,Operations,Executive,5,4.96,49,67460,92,2016,Active,Shows strong technical skills.
E0099,Employee_99,R&D,Developer,14,2.45,11,115397,79,2020,Active,Shows strong technical skills.
E0100,Employee_100,R&D,Executive,5,3.78,74,97847,86,2019,Active,Average performance this quarter.
E0101,Employee_101,Operations,Developer,15,3.14,72,118607,86,2019,Active,Missed a few important targets.
E0102,Employee_102,R&D,Analyst,17,4.91,26,114106,93,2015,Active,Great teamwork and consistent performance!
E0103,Employee_103,Marketing,Developer,14,4.53,18,43449,80,2016,Active,Excellent leadership qualities.
E0104,Employee_104,IT,Coordinator,5,4.51,24,58536,76,2022,Active,Great teamwork and consistent performance!
E0105,Employee_105,Operations,Developer,12,3.41,33,89077,86,2017,Active,Average performance this quarter.
E0106,Employee_106,Sales,Executive,16,3.24,47,63258,93,2024,Active,Good communication skills.
E0107,Employee_107,Sales,Coordinator,16,2.82,44,73302,79,2017,Active,Needs improvement in meeting deadlines.
E0108,Employee_108,HR,Executive,7,2.17,58,53865,86,2022,Active,Average performance this quarter.
E0109,Employee_109,R&D,Manager,4,4.59,78,31645,91,2022,Active,Shows strong technical skills.
E0110,Employee_110,Sales,Manager,1,4.44,71,63000,91,2016,Active,Average performance this quarter.
E0111,Employee_111,HR,Coordinator,5,5.0,69,51737,84,2022,Active,Missed a few important targets.
E0112,Employee_112,IT,Analyst,10,4.99,59,36485,99,2015,Active,Great teamwork and consistent performance!
E0113,Employee_113,Marketing,Manager,5,3.67,18,63565,97,2020,Active,Positive attitude towards learning.
E0114,Employee_114,Marketing,Developer,4,4.31,43,50522,91,2022,Active,Average performance this quarter.
E0115,Employee_115,Marketing,Executive,2,4.83,44,90155,89,2017,Active,Average performance this quarter.
E0116,Employee_116,Sales,Manager,10,4.55,10,80168,86,2022,Inactive,Good communication skills.
E0117,Employee_117,IT,Manager,19,2.74,49,77487,90,2015,Active,Struggles with workload management.
E0118,Employee_118,Sales,Analyst,1,3.35,73,37342,98,2023,Active,Good communication skills.
E0119,Employee_119,R&D,Coordinator,5,2.39,31,65806,93,2023,Active,Shows strong technical skills.
E0120,Employee_120,Sales,Coordinator,13,4.86,69,73770,82,2019,Active,Shows strong technical skills.
E0121,Employee_121,IT,Intern,4,3.82,73,103623,95,2024,Active,Good communication skills.
E0122,Employee_122,IT,Analyst,16,2.69,20,100629,91,2018,Active,Needs improvement in meeting deadlines.
E0123,Employee_123,R&D,Developer,16,4.02,23,77603,97,2020,Active,Always helpful and reliable.
E0124,Employee_124,IT,Coordinator,2,3.85,69,106974,79,2021,Active,Needs improvement in meeting deadlines.
E0125,Employee_125,IT,Executive,17,3.07,39,51399,96,2019,Active,Shows strong technical skills.
E0126,Employee_126,Marketing,Analyst,12,2.34,44,110382,90,2024,Active,Good communication skills.
E0127,Employee_127,R&D,Manager,18,4.01,46,106244,80,2023,Active,Shows strong technical skills.
E0128,Employee_128,Finance,Executive,3,3.56,14,101534,82,2017,Active,Missed a few important targets.
E0129,Employee_129,Finance,Executive,1,4.32,35,80106,99,2021,Active,Excellent leadership qualities.
E0130,Employee_130,IT,Manager,1,3.56,71,55678,92,2024,Active,Shows strong technical skills.
E0131,Employee_131,Finance,Analyst,19,4.56,13,101218,99,2024,Active,Needs improvement in meeting deadlines.
E0132,Employee_132,Finance,Manager,11,3.66,51,88230,86,2019,Inactive,Always helpful and reliable.
E0133,Employee_133,IT,Intern,5,3.68,27,99055,89,2021,Active,Good communication skills.
E0134,Employee_134,Finance,Executive,12,4.63,49,81373,83,2016,Active,Average performance this quarter.
E0135,Employee_135,Sales,Team Lead,3,3.21,48,56480,87,2018,Active,Excellent leadership qualities.
E0136,Employee_136,HR,Team Lead,1,2.4,23,110230,89,2016,Active,Good communication skills.
E0137,Employee_137,R&D,Developer,1,2.09,41,93836,84,2021,Active,Shows strong technical skills.
E0138,Employee_138,HR,Coordinator,8,4.27,60,97258,90,2016,Active,Good communication skills.
E0139,Employee_139,IT,Manager,10,3.86,47,64986,81,2015,Active,Struggles with workload management.
E0140,Employee_140,Marketing,Manager,11,4.11,32,49160,91,2023,Active,Excellent leadership qualities.
E0141,Employee_141,R&D,Developer,12,2.64,72,110595,97,2015,Active,Needs improvement in meeting deadlines.
E0142,Employee_142,IT,Developer,13,2.41,24,104111,95,2022,Active,Good communication skills.
E0143,Employee_143,Marketing,Developer,12,2.04,34,89929,96,2016,Active,Good communication skills.
E0144,Employee_144,HR,Executive,14,3.05,26,98506,81,2022,Active,Shows strong technical skills.
E0145,Employee_145,IT,Intern,2,3.77,75,59911,88,2017,Active,Missed a few important targets.
E0146,Employee_146,R&D,Manager,19,3.18,62,112127,89,2020,Active,Needs improvement in meeting deadlines.
E0147,Employee_147,R&D,Executive,18,3.31,60,56821,95,2017,Active,Shows strong technical skills.
E0148,Employee_148,Operations,Developer,3,4.71,48,100039,81,2021,Active,Good communication skills.
E0149,Employee_149,Sales,Manager,17,3.04,60,85535,83,2024,Active,Struggles with workload management.
E0150,Employee_150,Finance,Executive,8,3.54,79,109458,93,2023,Active,Always helpful and reliable.
E0151,Employee_151,Marketing,Intern,10,4.35,15,37175,90,2016,Active,Struggles with workload management.
E0152,Employee_152,Operations,Executive,2,3.19,76,79771,82,2019,Active,Good communication skills.
E0153,Employee_153,Finance,Intern,19,3.87,16,111925,92,2020,Active,Great teamwork and consistent performance!
E0154,Employee_154,Finance,Developer,9,4.59,60,91358,97,2018,Active,Excellent leadership qualities.
E0155,Employee_155,IT,Intern,7,4.85,51,42327,92,2018,Active,Great teamwork and consistent performance!
E0156,Employee_156,Finance,Manager,4,2.44,73,72057,94,2018,Active,Good communication skills.
E0157,Employee_157,Sales,Developer,18,4.78,24,31150,81,2016,Active,Great teamwork and consistent performance!
E0158,Employee_158,R&D,Manager,13,3.48,38,29425,77,2018,Active,Needs improvement in meeting deadlines.
E0159,Employee_159,Operations,Team Lead,11,2.77,42,41032,92,2015,Active,Needs improvement in meeting deadlines.
E0160,Employee_160,Finance,Analyst,4,3.38,36,27198,84,2020,Active,Struggles with workload management.
E0161,Employee_161,IT,Intern,4,4.94,45,85500,81,2015,Active,Positive attitude towards learning.
E0162,Employee_162,Sales,Analyst,10,3.48,38,78394,91,2024,Active,Great teamwork and consistent performance!
E0163,Employee_163,HR,Analyst,5,2.99,47,45079,88,2020,Active,Positive attitude towards learning.
E0164,Employee_164,R&D,Intern,9,3.9,66,61220,98,2015,Active,Average performance this quarter.
E0165,Employee_165,R&D,Developer,3,2.72,36,66874,77,2020,Active,Needs improvement in meeting deadlines.
E0166,Employee_166,Operations,Team Lead,17,2.23,64,38859,86,2024,Active,Shows strong technical skills.
E0167,Employee_167,R&D,Manager,3,2.39,42,75460,87,2022,Active,Always helpful and reliable.
E0168,Employee_168,Finance,Executive,16,2.38,77,56419,76,2016,Active,Good communication skills.
E0169,Employee_169,IT,Manager,4,2.46,75,33705,77,2016,Active,Needs improvement in meeting deadlines.
E0170,Employee_170,R&D,Executive,18,2.42,19,67880,79,2018,Active,Always helpful and reliable.
E0171,Employee_171,R&D,Manager,17,3.92,14,48236,85,2017,Active,Missed a few important targets.
E0172,Employee_172,HR,Intern,7,2.55,47,112955,82,2018,Inactive,Needs improvement in meeting deadlines.
E0173,Employee_173,HR,Team Lead,5,3.04,22,110514,97,2021,Active,Missed a few important targets.
E0174,Employee_174,Marketing,Executive,12,4.69,40,40358,97,2015,Active,Shows strong technical skills.
E0175,Employee_175,Sales,Coordinator,17,3.42,56,119914,86,2020,Active,Average performance this quarter.
E0176,Employee_176,Finance,Developer,13,4.0,61,101918,81,2017,Active,Excellent leadership qualities.
E0177,Employee_177,R&D,Manager,3,2.52,65,39596,89,2024,Active,Shows strong technical skills.
E0178,Employee_178,R&D,Manager,9,2.58,24,58572,98,2021,Active,Needs improvement in meeting deadlines.
E0179,Employee_179,IT,Executive,17,2.12,38,103757,91,2024,Active,Excellent leadership qualities.
E0180,Employee_180,Marketing,Developer,17,2.51,17,26279,78,2016,Active,Missed a few important targets.
E0181,Employee_181,Sales,Developer,16,2.84,14,88197,96,2016,Active,Struggles with workload management.
E0182,Employee_182,Marketing,Intern,13,2.53,38,87516,99,2018,Active,Needs improvement in meeting deadlines.
E0183,Employee_183,Operations,Coordinator,19,2.27,56,32083,87,2015,Active,Good communication skills.
E0184,Employee_184,Sales,Intern,17,2.36,77,42771,92,2017,Active,Excellent leadership qualities.
E0185,Employee_185,R&D,Intern,4,3.38,54,54975,75,2023,Active,Positive attitude towards learning.
E0186,Employee_186,R&D,Intern,12,2.62,11,70648,90,2021,Inactive,Excellent leadership qualities.
E0187,Employee_187,Sales,Intern,9,3.09,36,73285,87,2021,Active,Shows strong technical skills.
E0188,Employee_188,R&D,Intern,19,3.51,45,44063,84,2018,Active,Shows strong technical skills.
E0189,Employee_189,Finance,Team Lead,12,4.07,45,92642,86,2016,Active,Needs improvement in meeting deadlines.
E0190,Employee_190,Sales,Developer,9,2.12,35,115093,76,2018,Active,Excellent leadership qualities.
E0191,Employee_191,Marketing,Intern,7,4.4,52,111143,97,2020,Active,Missed a few important targets.
E0192,Employee_192,Sales,Developer,14,3.88,36,62599,77,2017,Active,Missed a few important targets.
E0193,Employee_193,R&D,Developer,19,2.25,78,76920,84,2015,Active,Missed a few important targets.
E0194,Employee_194,Finance,Analyst,15,4.62,29,53529,76,2022,Active,Always helpful and reliable.
E0195,Employee_195,Finance,Team Lead,16,4.76,20,60954,97,2019,Active,Always helpful and reliable.
E0196,Employee_196,Operations,Intern,5,2.18,47,52856,87,2019,Active,Average performance this quarter.
E0197,Employee_197,Marketing,Manager,3,2.83,15,27573,87,2018,Active,Missed a few important targets.
E0198,Employee_198,HR,Executive,12,4.42,32,103344,92,2020,Active,Great teamwork and consistent performance!
E0199,Employee_199,HR,Coordinator,4,4.24,56,60367,77,2017,Active,Great teamwork and consistent performance!
E0200,Employee_200,Sales,Manager,16,2.55,55,85774,81,2023,Active,Positive attitude towards learning.
